,name,region,subregion,votes,rating,length,lengthtype,gain,hpoint,fee,lat,long,trailhead1,trailhead2,author1,author2,countreports,Wildflowers/Meadows,Mountain views,Dogs allowed on leash,Established campsites,Waterfalls,Good for kids,Fall foliage,Ridges/passes,Wildlife,Old growth,Summits,Lakes,Rivers,Coast
10,Squires Lake,Puget Sound and Islands,Bellingham Area,5,3.20,2.0,roundtrip,200,680,,48.6459,-122.3542,Whatcom County Parks ,,WTA Correspondents,Mike Morrison,41,1,0,1,0,0,0,0,0,1,0,0,1,0,0
11,Boundary Bay Regional Park,Puget Sound and Islands,San Juan Islands,1,3.00,2.0,roundtrip,,10,None,49.0159,-123.0413,"Metro Vancouver Regional Parks, West Area Office, Boundary Bay Regional Park",,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Heart Lake,Puget Sound and Islands,San Juan Islands,1,4.00,2.86,roundtrip,130,620,None,48.4751,-122.6272,Anacortes City Parks,,WTA Staff,Anna Roth,19,0,0,1,0,0,1,1,0,1,0,0,1,0,0
13,Big Beaver Pond,Puget Sound and Islands,San Juan Islands,0,0.00,2.7,roundtrip,120,370,None,48.4916,-122.6363,"City of Anacortes Parks and Recreation, Community Forest Lands",,,,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0
14,Washington Park,Puget Sound and Islands,San Juan Islands,1,5.00,2.2,roundtrip,280,250,None,48.4991,-122.6927,"City of Anacortes Parks and Recreation, Washington Park",,,,37,0,0,1,0,0,1,0,0,0,0,0,0,0,1
15,Obstruction Pass State Park,Puget Sound and Islands,San Juan Islands,9,3.22,1.9,roundtrip,305,225,,48.6085,-122.8264,"Washington State Parks, Moran State Park",,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Jakle's Lagoon,Puget Sound and Islands,San Juan Islands,0,0.00,1.0,roundtrip,,100,,48.4636,-122.9989,San Juan Island National Historic Park,,WTA Community,Multiple authors contributed to this report,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1
17,American Camp and South Beach,Puget Sound and Islands,San Juan Islands,0,0.00,2.8,roundtrip,180,180,None,48.4645,-123.0239,San Juan Island National Historical Park,,,,3,1,0,1,0,0,1,0,0,1,0,0,0,0,1
18,Mount Grant Preserve,Puget Sound and Islands,San Juan Islands,0,0.00,2.0,roundtrip,500,700,None,48.5798,-123.1437,San Juan County Land Bank,,WTA Correspondents,Kathleen Foley,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1
19,Spencer Spit,Puget Sound and Islands,San Juan Islands,3,3.67,1.2,roundtrip,60,60,,48.5363,-122.8595,"Washington State Parks, Spencer Spit State Park",,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Bell Point and English Camp,Puget Sound and Islands,San Juan Islands,0,0.00,1.7,roundtrip,50,50,None,48.5865,-123.1479,San Juan Island National Historical Park,,,,6,0,0,1,0,0,1,0,0,1,0,0,0,0,1
21,Shark Reef Sanctuary,Puget Sound and Islands,San Juan Islands,3,2.33,1.0,roundtrip,40,60,,48.4627,-122.9373,"San Juan County Parks, Lopez Island",,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Upright Head Preserve,Puget Sound and Islands,San Juan Islands,0,0.00,1.2,roundtrip,300,160,,48.5688,-122.8846,"San Juan County Land Bank, Upright Head Preserve",,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Turn Point Lighthouse,Puget Sound and Islands,San Juan Islands,2,5.00,6.0,roundtrip,280,300,None,48.6765,-123.2045,Bureau of Land Management and Washington State Parks,,WTA Correspondents,Kathleen Foley,3,0,1,1,0,0,1,0,0,1,0,0,0,0,1
24,Murhut Falls,Olympic Peninsula,Hood Canal,16,3.62,1.6,roundtrip,250,1050,None,47.6763,-123.0208,Murhut Falls (#828),"Olympic National Forest, Hood Canal Ranger District",WTA Community,Multiple authors contributed to this report,145,0,0,1,0,1,1,0,0,0,1,0,0,0,0
25,Coyote Trail,South Cascades,White Pass/Cowlitz River Valley,1,4.00,6.8,one-way,1480,6600,Northwest Forest Pass,46.6089,-121.6273,Coyote Trail (#79),"Gifford Pinchot National Forest, Cowlitz Valley Ranger District",WTA Community,Multiple authors contributed to this report,19,1,1,1,0,0,0,0,0,0,0,0,0,0,0
26,Old Snowy Mountain - Elk Pass,South Cascades,Goat Rocks,8,3.88,17.0,roundtrip,3100,7800,Northwest Forest Pass,46.4577,-121.5060,"Snowgrass Flats (#96), Pacific Crest Trail (#2000)","Gifford Pinchot National Forest, Cowlitz Valley Ranger District",WTA Community,Multiple authors contributed to this report,58,1,1,1,1,1,0,1,1,1,0,1,0,0,0
27,Esmeralda Peak Loop,Snoqualmie Region,Salmon La Sac/Teanaway,1,5.00,12.1,roundtrip,2940,6000,Northwest Forest Pass,47.4432,-120.9399," (#1358), Esmeralda Basin Trail (#1394),  (#4W301), De Roux (#1392)",Okanogan,WTA Staff,Anna Roth,7,1,1,1,0,0,0,0,1,0,0,0,0,1,0
28,Lewisville Regional Park,Southwest Washington,Lewis River Region,0,0.00,2.8,one-way,,,,45.8190,-122.5452,Clark County Parks,,,,2,0,0,1,0,0,1,1,0,1,1,0,0,1,0
29,Wilderness Peak Loop,Issaquah Alps,Cougar Mountain,19,3.00,4.0,roundtrip,1200,1598,None,47.5093,-122.0904,"Whittaker Wilderness Peak (#COUGAR-E4), Gombu Wilderness Cliffs (#)",King County Parks,WTA Correspondents,Alan Gibbs,177,1,0,1,0,1,1,1,1,1,1,1,0,0,0
30,Tunnel Creek,Olympic Peninsula,Hood Canal,11,3.55,9.4,roundtrip,2450,4500,None,47.7815,-123.0521,Tunnel Creek (#841),"Olympic National Forest, Hood Canal Ranger District",WTA Correspondents,Mason White,143,0,1,0,1,0,0,1,1,0,1,0,1,0,0
31,Valhalla Peak,Olympic Peninsula,Hood Canal,1,5.00,5.0,roundtrip,2900,5345,None,47.7561,-123.0952,"Olympic National Forest, Hood Canal Ranger District",,,,4,1,1,0,1,0,0,0,0,0,0,1,0,1,0
32,Phelps Creek,Central Cascades,Stevens Pass - West,6,3.50,7.2,roundtrip,3500,5500,Northwest Forest Pass,48.0830,-120.8349,Phelps Creek (#1511),"Okanogan-Wenatchee National Forest, Wenatchee River Ranger District",WTA Community,Multiple authors contributed to this report,51,1,1,1,1,0,1,0,1,0,0,0,0,1,0
33,Wellington Ghost Town,Central Cascades,Stevens Pass - West,5,4.20,2.0,roundtrip,20,3000,Northwest Forest Pass,47.7472,-121.1271,"Mt. Baker-Snoqualmie National Forest, Skykomish Ranger District",,WTA Community,Exploring History in Your Hiking Boots,52,0,1,1,0,0,1,0,0,0,0,0,0,1,0
34,Mount McCausland,Central Cascades,Stevens Pass - East,23,4.74,7.0,roundtrip,1800,5747,None,47.8020,-121.0781,"Smithbrook Trail (#1590), Pacific Crest Trail (#2000)","Okanogan-Wenatchee National Forest, Wenatchee River Ranger District",WTA Correspondents,Mike Scavezze,181,1,1,1,0,0,0,0,0,0,0,1,1,0,0
35,Ptarmigan Ridge,North Cascades,Mount Baker Area,26,4.46,9.0,roundtrip,1350,6100,Northwest Forest Pass,48.8463,-121.6927,"Ptarmigan Ridge (#682.1), Chain Lakes (#682)","Mt. Baker Snoqualmie National Forest, Mt. Baker Ranger District - Glacier Public Service Center",WTA Correspondents,Ken Giesbers,192,1,1,1,0,0,0,0,1,0,0,0,0,0,0
36,Blue Lake,North Cascades,North Cascades Highway - Hwy 20,38,4.42,4.4,roundtrip,1050,6254,Northwest Forest Pass,48.5191,-120.6742,Blue Lake (#314),"Okanogan-Wenatchee National Forest, Methow Valley Ranger District",WTA Correspondents,Ken Peterson,284,1,1,1,0,0,1,1,0,1,0,0,1,0,0
37,Lodge Lake,Snoqualmie Region,Snoqualmie Pass,18,3.56,3.0,roundtrip,500,3500,Northwest Forest Pass,47.4273,-121.4204,"Mt. Baker–Snoqualmie National Forest, Snoqualmie Ranger District",,WTA Correspondents,Teddy Wingo,165,0,0,1,0,0,1,0,0,0,0,0,1,0,0
38,Granite Creek Trail to Granite Lakes,Snoqualmie Region,North Bend Area,11,3.55,8.8,roundtrip,2270,3070,Discover Pass,47.4698,-121.6687,Washington Department of Natural Resources ,,WTA Correspondents,Maxwell Krem,192,0,1,1,0,1,0,1,0,1,1,0,0,1,0
39,Carne Mountain,Central Cascades,Stevens Pass - East,15,4.07,8.0,roundtrip,3600,7085,None,48.0829,-120.8350,Carne Mountain (#1508),Okanogan Wenatchee National Forest,WTA Community,Cindy Clark,109,1,1,1,0,0,0,1,0,0,0,1,0,0,0
40,Hidden Lake Lookout,North Cascades,North Cascades Highway - Hwy 20,46,4.50,8.0,roundtrip,3300,6900,None,48.5148,-121.2152,Hidden Lake (#745),North Cascades National Park,WTA Correspondents,Paul Kriloff,417,1,1,0,0,1,0,1,1,0,0,1,1,0,0
41,Cascade Pass and Sahale Arm,North Cascades,North Cascades Highway - Hwy 20,50,4.28,12.0,roundtrip,4000,7570,None,48.4755,-121.0750,North Cascades National Park,,WTA Correspondents,Paul Kriloff,337,1,1,0,1,1,0,1,1,1,1,0,1,0,0
42,Little Giant Pass,Central Cascades,Stevens Pass - East,8,3.88,10.0,roundtrip,4000,6409,Northwest Forest Pass,48.0258,-120.8286,Little Giant Pass (#1518),"Okanogan-Wenatchee National Forest, Wenatchee River Ranger District, Leavenworth",WTA Correspondents,Paul Kriloff,71,1,1,0,0,0,0,0,1,0,0,0,0,1,0
43,Little Si,Snoqualmie Region,North Bend Area,135,3.56,4.7,roundtrip,1300,1550,Discover Pass,47.4878,-121.7563,"Department of Natural Resources, South Puget Sound Region",,WTA Correspondents,Conor Dempsey,772,0,1,1,0,0,1,0,0,0,0,0,0,0,0
44,Denny Creek,Snoqualmie Region,Snoqualmie Pass,54,4.00,6.0,roundtrip,1345,3642,Northwest Forest Pass,47.4154,-121.4433,Denny Creek (#1014),"Mt. Baker-Snoqualmie National Forest, Snoqualmie Ranger District",WTA Correspondents,Maura Marko,549,1,0,1,0,1,1,0,0,0,1,0,0,1,0
45,Snow Lake,Snoqualmie Region,Snoqualmie Pass,146,4.16,7.2,roundtrip,1800,4400,Northwest Forest Pass,47.4454,-121.4230,Snow Lake (#1013),"Mt. Baker-Snoqualmie National Forest, Snoqualmie Ranger District",WTA Correspondents,Paul Kriloff,1423,0,1,1,1,1,1,0,1,0,1,0,1,0,0
46,Greenwater and Echo Lakes,Mount Rainier Area,Chinook Pass - Hwy 410,31,3.68,14.0,roundtrip,1900,4100,Northwest Forest Pass,47.1059,-121.4751,Greenwater Lakes (#1176),"Mt. Baker-Snoqualmie National Forest, Snoqualmie Ranger District",WTA Community,Multiple authors contributed to this report,367,1,0,1,1,0,1,0,0,1,1,0,1,1,0
47,Twin Falls,Snoqualmie Region,North Bend Area,174,4.14,2.6,roundtrip,500,1000,Discover Pass,47.4420,-121.6761,Washington State Parks,,WTA Correspondents,John Soltys,721,0,0,1,0,1,1,0,0,0,1,0,0,1,0
48,Talus Loop,Snoqualmie Region,North Bend Area,14,3.36,3.6,roundtrip,1400,2100,Discover Pass,47.4878,-121.7563,"Department of Natural Resources, South Puget Sound Region",,WTA Staff,Anna Roth,116,0,1,1,0,0,0,0,0,0,1,0,0,1,0
49,Monte Cristo Ghost Town,North Cascades,Mountain Loop Highway,16,4.12,8.0,roundtrip,700,2800,Northwest Forest Pass,48.0270,-121.4447, (#),"Mt. Baker-Snoqualmie National Forest, Darrington Ranger District",WTA Community,Multiple authors contributed to this report,242,1,0,0,0,0,1,0,0,0,0,0,0,1,0
50,Green Mountain - Gold Creek Trail,Olympic Peninsula,Kitsap Peninsula,25,3.60,5.0,roundtrip,1000,1639,Discover Pass,47.5517,-122.8266,Department of Natural Resources,,WTA Staff,Anna Roth,161,0,1,1,1,0,0,0,0,0,0,1,0,0,0
51,Olallie Lake via Pratt Lake Trail,Snoqualmie Region,North Bend Area,5,4.00,6.0,roundtrip,,,Northwest Forest Pass,47.4219,-121.5117,"Mt. Baker-Snoqualmie National Forest, Snoqualmie Ranger District",,WTA Staff,Anna Roth,89,0,0,1,1,0,1,0,0,1,0,0,1,0,0
52,Bandera Mountain,Snoqualmie Region,North Bend Area,96,4.22,8.0,roundtrip,3400,5240,Northwest Forest Pass,47.4247,-121.5836,Bandera Mountain (#1038),"Mt. Baker-Snoqualmie National Forest, Snoqualmie Ranger District",WTA Correspondents,Paul Kriloff,855,1,1,1,0,1,0,1,1,0,0,1,0,0,0
53,Owyhigh Lakes,Mount Rainier Area,NE - Sunrise/White River,11,3.36,7.0,roundtrip,1650,5275,National Park Pass,46.8905,-121.5968,"Mount Rainier National Park, White River Wilderness Information Center",,WTA Correspondents,Ken Giesbers,132,1,1,0,1,0,1,0,0,1,1,0,1,0,0
54,Millersylvania State Park,Olympic Peninsula,Olympia,16,3.75,6.0,roundtrip,105,395,Discover Pass,46.9113,-122.9113,Washington State Parks,,WTA Community,Multiple authors contributed to this report,49,1,0,1,1,0,1,1,0,0,1,0,1,0,0
55,Big Creek,Olympic Peninsula,Hood Canal,31,3.97,4.3,roundtrip,850,1850,Northwest Forest Pass,47.4933,-123.2110,Big Creek (#827),"Olympic National Forest, Hood Canal Ranger District, Quilcene",,,213,0,1,1,1,0,0,0,0,0,1,0,0,1,0
56,Lower South Fork Skokomish River,Olympic Peninsula,Olympia,11,3.36,8.5,roundtrip,800,900,Northwest Forest Pass,47.4190,-123.3297,Lower South Fork Skokomish (#873),"Olympic National Forest, Hood Canal Ranger District",WTA Correspondents,Nate and Jer Barnes,180,0,1,1,1,1,0,0,0,1,0,0,0,1,0
57,Redmond Central Connector Trail,Puget Sound and Islands,Seattle-Tacoma Area,1,2.00,4.6,roundtrip,13,49,None,47.6701,-122.1242,City of Redmond/King County,,WTA Correspondents,Erik Morgenstern,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
58,Granite Mountain,Snoqualmie Region,Snoqualmie Pass,102,4.42,8.6,roundtrip,3800,5629,Northwest Forest Pass,47.3979,-121.4860,"Pratt Lake (#1007), Granite Mountain (#1016)","Mt. Baker-Snoqualmie National Forest, Snoqualmie Ranger District",WTA Staff,Anna Roth,1207,1,1,1,0,0,0,1,0,0,0,1,0,0,0
59,High Divide via Welcome Pass,North Cascades,Mount Baker Area,12,3.33,8.0,roundtrip,3400,5850,None,48.9135,-121.6997,Welcome Pass (#698),"Mt. Baker-Snoqualmie National Forest, Mount Baker Ranger District",,,111,1,1,1,0,0,0,0,1,0,1,1,0,0,0
60,Northwest Timber Trail,Issaquah Alps,Tiger Mountain,9,2.78,4.4,roundtrip,150,1500,Discover Pass,47.4669,-121.9333,Northwest Timber Trail (#TIGER),"Department of Natural Resources, South Puget Sound Region",WTA Correspondents,Alan Gibbs,59,1,0,1,0,1,1,1,0,1,1,0,0,0,0
61,Tradition Lake Loop,Issaquah Alps,Tiger Mountain,11,3.45,2.9,roundtrip,150,540,Discover Pass,47.5296,-121.9957,Tradition Lake Loop (#TIGER),"Department of Natural Resources, South Puget Sound Region",WTA Correspondents,Alan Gibbs,75,1,0,1,0,0,1,1,0,1,1,0,1,0,0
62,Heather - Maple Pass Loop,North Cascades,North Cascades Highway - Hwy 20,76,4.79,7.2,roundtrip,2000,6650,Northwest Forest Pass,48.5162,-120.7354,Maple Pass (#470),"Okanogan-Wenatchee National Forest, Methow Valley Ranger District",WTA Correspondents,Austin Smith,529,1,1,0,0,0,0,1,1,1,1,0,1,0,0
63,Big Four Ice Caves,North Cascades,Mountain Loop Highway,91,3.93,2.2,roundtrip,220,1938,Northwest Forest Pass,48.0659,-121.5107,Big Four Ice Caves (#723),"Mt. Baker-Snoqualmie National Forest, Darrington Ranger District",WTA Correspondents,Linda Roe,550,0,1,1,0,1,1,0,0,0,1,0,0,1,0
64,Red Mountain (Commonwealth Basin),Snoqualmie Region,Snoqualmie Pass,8,3.62,11.0,roundtrip,2900,5890,Northwest Forest Pass,47.4278,-121.4134,Red Mountain (#1033),"Mt. Baker-Snoqualmie National Forest, North Bend Ranger District",,,114,1,1,0,0,0,0,0,0,0,0,1,0,0,0
65,Lunds Gulch / Meadowdale Beach Park,Puget Sound and Islands,Seattle-Tacoma Area,23,3.61,2.5,roundtrip,425,425,None,47.8558,-122.3175,Snohomish County Parks,,WTA Correspondents,hikensee15,149,0,1,1,0,0,0,0,0,0,0,0,0,1,1
66,Green Mountain,North Cascades,Mountain Loop Highway,27,4.22,8.5,roundtrip,3300,6500,None,48.2662,-121.2457,Green Mountain (#782),"Mt. Baker-Snoqualmie National Forest, Darrington Ranger District",WTA Correspondents,Anya Zolotusky,340,1,1,1,1,0,1,1,1,1,0,1,0,0,0
67,Moss Lake,Puget Sound and Islands,Seattle-Tacoma Area,2,2.50,2.5,roundtrip,,,None,47.6928,-121.8504,King County Parks,,WTA Community,King County Parks,29,0,0,1,0,0,1,0,0,0,0,0,1,0,0
68,Ashland Lakes,North Cascades,Mountain Loop Highway,20,3.60,5.4,roundtrip,800,3000,Discover Pass,48.0477,-121.7142,Washington Department of Natural Resource ,,WTA Correspondents,Linda Roe,210,0,0,1,1,0,1,0,0,0,1,0,1,0,0
69,Dock Butte,North Cascades,Mount Baker Area,12,3.92,4.4,roundtrip,1500,,Northwest Forest Pass,48.6538,-121.7840,Dock Butte (#604.1),Mt. Baker-Snoqualime National Forest ,WTA Correspondents,Melissa Ozbek,91,0,1,0,0,0,0,1,0,0,0,0,1,0,0
70,Willapa National Wildlife Refuge - Leadbetter Point,Southwest Washington,Long Beach Area,6,3.50,10.6,roundtrip,50,35,Discover Pass,46.5970,-124.0521,Willapa National Wildlife Refuge,,WTA Correspondents,Brittany Manwill,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1
71,Melakwa Lake,Snoqualmie Region,Snoqualmie Pass,71,4.21,8.5,roundtrip,2500,4600,Northwest Forest Pass,47.4151,-121.4432,"Denny Creek (#1014), Melakwa Lake (#1011)","Mt. Baker-Snoqualmie National Forest, Snoqualmie Ranger District",WTA Correspondents,Ken Giesbers,745,0,0,1,1,1,0,0,1,0,1,0,1,0,0
72,Twisp Pass via Dagger Lake,North Cascades,North Cascades Highway - Hwy 20,0,0.00,15.2,roundtrip,2420,6060,,48.5050,-120.7191,"Twisp Pass Trail (#), Pacific Crest Trail (#2000)","Okanogan-Wenatchee National Forest, Methow Valley Ranger District and North Cascades National Park",WTA Correspondents,Rolan Shomber,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0
73,Stiletto Peak,North Cascades,North Cascades Highway - Hwy 20,3,4.00,10.4,roundtrip,3650,7660,None,48.5050,-120.7191,"Stiletto Spur Trail (#), Stiletto Peak Trail (#), Pacific Crest Trail (#2000)","Okanogan-Wenatchee National Forest, Methow Valley Ranger District and North Cascades National Park",WTA Correspondents,Rolan Shomber,9,0,0,1,0,0,0,1,1,1,0,0,0,0,0
74,Raptor Ridge Trail,Puget Sound and Islands,Bellingham Area,6,3.50,8.0,roundtrip,1500,,None,48.6999,-122.4897,Larrabee State Park,,WTA Staff,Anna Roth,61,0,0,1,0,0,1,0,0,1,0,1,0,0,0
75,Rooster Mountain,Snoqualmie Region,North Bend Area,6,4.00,14.0,roundtrip,4500,5340,Northwest Forest Pass,47.5597,-121.5328,"Mt. Baker-Snoqualmie National Forest, Snoqualmie Ranger District",,WTA Correspondents,Conor Dempsey,22,0,1,0,0,0,0,0,0,0,0,1,0,0,0
76,Talapus and Olallie Lakes,Snoqualmie Region,Snoqualmie Pass,92,3.80,6.2,roundtrip,1220,3780,Northwest Forest Pass,47.4007,-121.5190,Talapus Lake (#1039),"Mt. Baker-Snoqualmie National Forest, Snoqualmie Ranger District",WTA Staff,Anna Roth,1105,0,1,1,0,0,1,1,0,1,1,0,1,0,0
77,Lake Valhalla,Central Cascades,Stevens Pass - East,37,4.38,7.0,roundtrip,1500,5050,Northwest Forest Pass,47.7479,-121.0883,Lake Valhalla (#1590),"Mt. Baker-Snoqualmie National Forest, Skykomish Ranger District",WTA Correspondents,Rob Shurtleff,466,0,0,0,0,1,1,1,0,0,0,1,0,1,0
78,Mount Pugh,North Cascades,Mountain Loop Highway,26,4.23,11.0,roundtrip,5300,7201,None,48.1454,-121.4161,Mount Pugh (#644),"Mt. Baker Snoqualmie National Forest, Darrington Ranger District",WTA Correspondents,Jay Lamoureux,242,1,1,0,0,0,0,1,1,1,1,1,1,0,0
79,Mailbox Peak,Snoqualmie Region,North Bend Area,57,4.25,9.4,roundtrip,4000,4822,Discover Pass,47.4675,-121.6748,Department of Natural Resources,,WTA Correspondents,Paul Kriloff,705,0,1,1,0,0,0,1,0,0,0,1,0,0,0
80,Evans Creek Preserve,Puget Sound and Islands,Seattle-Tacoma Area,13,3.92,4.2,roundtrip,325,480,None,47.6423,-122.0375,City of Sammamish,,WTA Correspondents,Maxwell Krem,90,1,0,1,0,0,1,0,0,1,0,0,0,0,0
81,Tuck and Robin Lakes,Snoqualmie Region,Salmon La Sac/Teanaway,24,4.29,16.0,roundtrip,2900,6300,Northwest Forest Pass,47.5443,-121.0970,"Deception Pass Trail (#1376), Robin Lakes (#1376.1)","Okanogan-Wenatchee National Forest, Cle Elum Ranger District",,,230,1,1,1,1,0,0,0,1,0,1,1,1,0,0
82,Deception Pass State Park - Goose Rock,Puget Sound and Islands,Whidbey Island,26,3.96,4.3,roundtrip,484,484,Discover Pass,48.4034,-122.6475,"Washington State Parks, Deception Pass State Park",,WTA Correspondents,Linda Roe,113,1,1,1,0,0,1,0,0,0,1,0,0,0,1
83,Heybrook Ridge,Central Cascades,Stevens Pass - West,27,4.11,3.3,roundtrip,760,1320,None,47.8188,-121.5539,Snohomish County Parks,,WTA Staff,Rachel Wendling,166,0,1,0,0,0,0,0,0,0,0,0,0,0,0
84,Crater Lakes,North Cascades,Methow/Sawtooth,13,3.77,8.6,roundtrip,2220,6980,Northwest Forest Pass,48.2204,-120.2679,Crater Lakes (#416),"Okanogan-Wenatchee National Forest, Methow Valley Ranger District",WTA Correspondents,Rolan Shomber,39,0,1,1,1,0,0,1,0,0,0,0,1,0,0
85,Primrose Overlook,Issaquah Alps,Cougar Mountain,4,2.75,0.5,roundtrip,150,900,,,,"Little Creek Trail (#COUGAR-N11), Primrose Overlook (#COUGAR-N10)",Cougar Mountain Regional Park,,,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0
86,Scott Paul Trail,North Cascades,Mount Baker Area,16,3.94,8.0,roundtrip,2000,5200,Northwest Forest Pass,48.7067,-121.8122,Scott Paul Trail (#603.1),"Mt. Baker-Snoqualmie National Forest, Mount Baker Ranger District",WTA Correspondents,Maxwell Krem,136,1,1,0,0,1,0,1,0,1,1,0,0,0,0
87,Mount Dickerman,North Cascades,Mountain Loop Highway,77,4.57,8.2,roundtrip,3950,5760,Northwest Forest Pass,48.0538,-121.4900,Mount Dickerman (#710),"Mt. Baker-Snoqualmie National Forest, Darrington Ranger District",WTA Correspondents,Paul Kriloff,867,1,1,1,1,0,0,1,0,0,1,1,0,0,0
88,Spray Park,Mount Rainier Area,NW - Carbon River/Mowich,50,4.22,8.0,roundtrip,1700,6500,National Park Pass,46.9327,-121.8636,"Mount Rainier National Park, Carbon River Ranger Station",,WTA Correspondents,Steven Payne,426,1,1,0,0,1,0,0,0,1,1,0,0,0,0
89,De Roux Creek - Gallagher Head Lake,Snoqualmie Region,Salmon La Sac/Teanaway,6,3.50,8.0,roundtrip,1900,5600,Northwest Forest Pass,47.4192,-120.9391,Boulder-De Roux (#1392),"Okanogan–Wenatchee National Forest, Cle Elum Ranger District",WTA Staff,Anna Roth,117,1,1,1,0,0,0,0,1,0,0,0,1,0,0
90,Lake Ann (Mount Baker Highway),North Cascades,Mount Baker Area,22,4.18,8.2,roundtrip,1900,4900,Northwest Forest Pass,48.8511,-121.6861,Lake Ann (#600),"Mt. Baker-Snoqualmie National Forest, Mount Baker Ranger District, North Cascade National Park",WTA Correspondents,Jay Lamoureux,191,1,1,1,1,0,1,0,0,0,0,0,1,0,0
91,Shriner Peak,Mount Rainier Area,SE - Cayuse Pass/Steven's Canyon,12,3.58,8.5,roundtrip,3434,5834,None,46.8018,-121.5551,"Mount Rainier National Park, Longmire Wilderness Information Center",,WTA Correspondents,Brittany Manwill,165,0,1,0,0,0,0,1,1,0,0,0,1,0,0
92,Alta Mountain,Snoqualmie Region,Snoqualmie Pass,16,4.62,12.0,roundtrip,3300,6151,Northwest Forest Pass,47.3980,-121.2843,Rachel Lake (#1313),"Okanogan-Wenatchee National Forest, Cle Elum Ranger District",WTA Correspondents,Mike Scavezze,167,1,1,0,1,1,0,0,1,0,0,1,1,1,0
